ES/EN,MX
"['1Juan_4_IJSUD.txt', '1Juan_4_esp_rva.txt', '1Juan_4_esp_a.txt']","['1Juan_4_mks.txt', '1Juan_4_mie.txt', '1Juan_4_xtm.txt', '1Juan_4_mza.txt', '1Juan_4_mxv.txt', '1Juan_4_mpm.txt', '1Juan_4_mjc.txt', '1Juan_4_miy.txt', '1Juan_4_mit.txt', '1Juan_4_mio.txt', '1Juan_4_mih.txt']"
"['1Juan_5_IJSUD.txt', '1Juan_5_esp_rva.txt', '1Juan_5_esp_a.txt']","['1Juan_5_mie.txt', '1Juan_5_mks.txt', '1Juan_5_xtm.txt', '1Juan_5_mza.txt', '1Juan_5_mxv.txt', '1Juan_5_mpm.txt', '1Juan_5_mjc.txt', '1Juan_5_miy.txt', '1Juan_5_mit.txt', '1Juan_5_mio.txt', '1Juan_5_mih.txt']"
"['1Pedro_1_IJSUD.txt', '1Pedro_1_esp_rva.txt', '1Pedro_1_esp_a.txt']","['1Pedro_1_xtm.txt', '1Pedro_1_mza.txt', '1Pedro_1_mxv.txt', '1Pedro_1_mpm.txt', '1Pedro_1_mks.txt', '1Pedro_1_mjc.txt', '1Pedro_1_miy.txt', '1Pedro_1_mit.txt', '1Pedro_1_mio.txt', '1Pedro_1_mih.txt', '1Pedro_1_mie.txt']"
"['1Pedro_2_IJSUD.txt', '1Pedro_2_esp_rva.txt', '1Pedro_2_esp_a.txt']","['1Pedro_2_xtm.txt', '1Pedro_2_mza.txt', '1Pedro_2_mxv.txt', '1Pedro_2_mpm.txt', '1Pedro_2_mks.txt', '1Pedro_2_mjc.txt', '1Pedro_2_miy.txt', '1Pedro_2_mit.txt', '1Pedro_2_mio.txt', '1Pedro_2_mih.txt', '1Pedro_2_mie.txt']"
"['1Pedro_3_IJSUD.txt', '1Pedro_3_esp_rva.txt', '1Pedro_3_esp_a.txt']","['1Pedro_3_xtm.txt', '1Pedro_3_mza.txt', '1Pedro_3_mxv.txt', '1Pedro_3_mpm.txt', '1Pedro_3_mks.txt', '1Pedro_3_mjc.txt', '1Pedro_3_miy.txt', '1Pedro_3_mit.txt', '1Pedro_3_mio.txt', '1Pedro_3_mih.txt', '1Pedro_3_mie.txt']"
"['1Pedro_4_IJSUD.txt', '1Pedro_4_esp_rva.txt', '1Pedro_4_esp_a.txt']","['1Pedro_4_xtm.txt', '1Pedro_4_mza.txt', '1Pedro_4_mxv.txt', '1Pedro_4_mpm.txt', '1Pedro_4_mks.txt', '1Pedro_4_mjc.txt', '1Pedro_4_miy.txt', '1Pedro_4_mit.txt', '1Pedro_4_mio.txt', '1Pedro_4_mih.txt', '1Pedro_4_mie.txt']"
"['1Pedro_5_IJSUD.txt', '1Pedro_5_esp_rva.txt', '1Pedro_5_esp_a.txt']","['1Pedro_5_xtm.txt', '1Pedro_5_mza.txt', '1Pedro_5_mxv.txt', '1Pedro_5_mpm.txt', '1Pedro_5_mks.txt', '1Pedro_5_mjc.txt', '1Pedro_5_miy.txt', '1Pedro_5_mit.txt', '1Pedro_5_mio.txt', '1Pedro_5_mih.txt', '1Pedro_5_mie.txt']"
"['1Tesalonicenses_1_IJSUD.txt', '1Tesalonicenses_1_esp_rva.txt', '1Tesalonicenses_1_esp_a.txt']","['1Tesalonicenses_1_xtm.txt', '1Tesalonicenses_1_mza.txt', '1Tesalonicenses_1_mxv.txt', '1Tesalonicenses_1_mpm.txt', '1Tesalonicenses_1_mks.txt', '1Tesalonicenses_1_mjc.txt', '1Tesalonicenses_1_miy.txt', '1Tesalonicenses_1_mit.txt', '1Tesalonicenses_1_mio.txt', '1Tesalonicenses_1_mih.txt', '1Tesalonicenses_1_mie.txt']"
"['1Tesalonicenses_2_IJSUD.txt', '1Tesalonicenses_2_esp_rva.txt', '1Tesalonicenses_2_esp_a.txt']","['1Tesalonicenses_2_xtm.txt', '1Tesalonicenses_2_mza.txt', '1Tesalonicenses_2_mxv.txt', '1Tesalonicenses_2_mpm.txt', '1Tesalonicenses_2_mks.txt', '1Tesalonicenses_2_mjc.txt', '1Tesalonicenses_2_miy.txt', '1Tesalonicenses_2_mit.txt', '1Tesalonicenses_2_mio.txt', '1Tesalonicenses_2_mih.txt', '1Tesalonicenses_2_mie.txt']"
"['1Tesalonicenses_3_esp_rva.txt', '1Tesalonicenses_3_esp_a.txt', '1Tesalonicenses_3_IJSUD.txt']","['1Tesalonicenses_3_xtm.txt', '1Tesalonicenses_3_mxv.txt', '1Tesalonicenses_3_mpm.txt', '1Tesalonicenses_3_mks.txt', '1Tesalonicenses_3_mjc.txt', '1Tesalonicenses_3_mit.txt', '1Tesalonicenses_3_mio.txt', '1Tesalonicenses_3_mih.txt', '1Tesalonicenses_3_mie.txt']"
"['1Tesalonicenses_4_IJSUD.txt', '1Tesalonicenses_4_esp_rva.txt', '1Tesalonicenses_4_esp_a.txt']","['1Tesalonicenses_4_xtm.txt', '1Tesalonicenses_4_mza.txt', '1Tesalonicenses_4_mxv.txt', '1Tesalonicenses_4_mpm.txt', '1Tesalonicenses_4_mks.txt', '1Tesalonicenses_4_mjc.txt', '1Tesalonicenses_4_miy.txt', '1Tesalonicenses_4_mit.txt', '1Tesalonicenses_4_mio.txt', '1Tesalonicenses_4_mih.txt', '1Tesalonicenses_4_mie.txt']"
"['1Tesalonicenses_5_IJSUD.txt', '1Tesalonicenses_5_esp_rva.txt', '1Tesalonicenses_5_esp_a.txt']","['1Tesalonicenses_5_xtm.txt', '1Tesalonicenses_5_mza.txt', '1Tesalonicenses_5_mxv.txt', '1Tesalonicenses_5_mpm.txt', '1Tesalonicenses_5_mks.txt', '1Tesalonicenses_5_mjc.txt', '1Tesalonicenses_5_miy.txt', '1Tesalonicenses_5_mit.txt', '1Tesalonicenses_5_mio.txt', '1Tesalonicenses_5_mih.txt', '1Tesalonicenses_5_mie.txt']"
"['1Timoteo_1_IJSUD.txt', '1Timoteo_1_esp_rva.txt', '1Timoteo_1_esp_a.txt']","['1Timoteo_1_xtm.txt', '1Timoteo_1_mza.txt', '1Timoteo_1_mxv.txt', '1Timoteo_1_mpm.txt', '1Timoteo_1_mks.txt', '1Timoteo_1_mjc.txt', '1Timoteo_1_miy.txt', '1Timoteo_1_mit.txt', '1Timoteo_1_mio.txt', '1Timoteo_1_mih.txt', '1Timoteo_1_mie.txt']"
"['1Timoteo_2_IJSUD.txt', '1Timoteo_2_esp_rva.txt', '1Timoteo_2_esp_a.txt']","['1Timoteo_2_xtm.txt', '1Timoteo_2_mza.txt', '1Timoteo_2_mxv.txt', '1Timoteo_2_mpm.txt', '1Timoteo_2_mks.txt', '1Timoteo_2_mjc.txt', '1Timoteo_2_miy.txt', '1Timoteo_2_mit.txt', '1Timoteo_2_mio.txt', '1Timoteo_2_mih.txt', '1Timoteo_2_mie.txt']"
"['1Timoteo_3_IJSUD.txt', '1Timoteo_3_esp_rva.txt', '1Timoteo_3_esp_a.txt']","['1Timoteo_3_xtm.txt', '1Timoteo_3_mza.txt', '1Timoteo_3_mxv.txt', '1Timoteo_3_mpm.txt', '1Timoteo_3_mks.txt', '1Timoteo_3_mjc.txt', '1Timoteo_3_miy.txt', '1Timoteo_3_mit.txt', '1Timoteo_3_mio.txt', '1Timoteo_3_mih.txt', '1Timoteo_3_mie.txt']"
"['1Timoteo_4_IJSUD.txt', '1Timoteo_4_esp_rva.txt', '1Timoteo_4_esp_a.txt']","['1Timoteo_4_xtm.txt', '1Timoteo_4_mza.txt', '1Timoteo_4_mxv.txt', '1Timoteo_4_mpm.txt', '1Timoteo_4_mks.txt', '1Timoteo_4_mjc.txt', '1Timoteo_4_miy.txt', '1Timoteo_4_mit.txt', '1Timoteo_4_mio.txt', '1Timoteo_4_mih.txt', '1Timoteo_4_mie.txt']"
"['1Timoteo_5_IJSUD.txt', '1Timoteo_5_esp_rva.txt', '1Timoteo_5_esp_a.txt']","['1Timoteo_5_xtm.txt', '1Timoteo_5_mza.txt', '1Timoteo_5_mxv.txt', '1Timoteo_5_mpm.txt', '1Timoteo_5_mks.txt', '1Timoteo_5_mjc.txt', '1Timoteo_5_miy.txt', '1Timoteo_5_mit.txt', '1Timoteo_5_mio.txt', '1Timoteo_5_mih.txt', '1Timoteo_5_mie.txt']"
"['1Timoteo_6_IJSUD.txt', '1Timoteo_6_esp_rva.txt', '1Timoteo_6_esp_a.txt']","['1Timoteo_6_xtm.txt', '1Timoteo_6_mza.txt', '1Timoteo_6_mxv.txt', '1Timoteo_6_mpm.txt', '1Timoteo_6_mks.txt', '1Timoteo_6_mjc.txt', '1Timoteo_6_miy.txt', '1Timoteo_6_mit.txt', '1Timoteo_6_mio.txt', '1Timoteo_6_mih.txt', '1Timoteo_6_mie.txt']"
['1_dling_esp.txt'],['1_dling_mih.txt']
['1_dlingt_esp.txt'],['1_dlingt_mih.txt']
['1_dpe_esp.txt'],['1_dpe_mio.txt']
['20_dling_esp.txt'],['20_dling_mih.txt']
['21_dling_esp.txt'],['21_dling_mih.txt']
['22_dling_esp.txt'],['22_dling_mih.txt']
['23_dling_esp.txt'],['23_dling_mih.txt']
['24_dling_esp.txt'],['24_dling_mih.txt']
['25_dling_esp.txt'],['25_dling_mih.txt']
"['2Corintios_10_IJSUD.txt', '2Corintios_10_esp_rva.txt', '2Corintios_10_esp_a.txt']","['2Corintios_10_xtm.txt', '2Corintios_10_mza.txt', '2Corintios_10_mxv.txt', '2Corintios_10_mpm.txt', '2Corintios_10_mks.txt', '2Corintios_10_mjc.txt', '2Corintios_10_miy.txt', '2Corintios_10_mit.txt', '2Corintios_10_mio.txt', '2Corintios_10_mih.txt', '2Corintios_10_mie.txt']"
"['2Corintios_11_IJSUD.txt', '2Corintios_11_esp_rva.txt', '2Corintios_11_esp_a.txt']","['2Corintios_11_xtm.txt', '2Corintios_11_mza.txt', '2Corintios_11_mxv.txt', '2Corintios_11_mpm.txt', '2Corintios_11_mks.txt', '2Corintios_11_mjc.txt', '2Corintios_11_miy.txt', '2Corintios_11_mit.txt', '2Corintios_11_mio.txt', '2Corintios_11_mih.txt', '2Corintios_11_mie.txt']"
"['2Corintios_12_IJSUD.txt', '2Corintios_12_esp_rva.txt', '2Corintios_12_esp_a.txt']","['2Corintios_12_xtm.txt', '2Corintios_12_mza.txt', '2Corintios_12_mxv.txt', '2Corintios_12_mpm.txt', '2Corintios_12_mks.txt', '2Corintios_12_mjc.txt', '2Corintios_12_miy.txt', '2Corintios_12_mit.txt', '2Corintios_12_mio.txt', '2Corintios_12_mih.txt', '2Corintios_12_mie.txt']"
"['2Corintios_13_IJSUD.txt', '2Corintios_13_esp_rva.txt', '2Corintios_13_esp_a.txt']","['2Corintios_13_xtm.txt', '2Corintios_13_mza.txt', '2Corintios_13_mxv.txt', '2Corintios_13_mpm.txt', '2Corintios_13_mks.txt', '2Corintios_13_mjc.txt', '2Corintios_13_miy.txt', '2Corintios_13_mit.txt', '2Corintios_13_mio.txt', '2Corintios_13_mih.txt', '2Corintios_13_mie.txt']"
"['2Corintios_1_IJSUD.txt', '2Corintios_1_esp_rva.txt', '2Corintios_1_esp_a.txt']","['2Corintios_1_xtm.txt', '2Corintios_1_mza.txt', '2Corintios_1_mxv.txt', '2Corintios_1_mpm.txt', '2Corintios_1_mks.txt', '2Corintios_1_mjc.txt', '2Corintios_1_miy.txt', '2Corintios_1_mit.txt', '2Corintios_1_mio.txt', '2Corintios_1_mih.txt', '2Corintios_1_mie.txt']"
"['2Corintios_2_IJSUD.txt', '2Corintios_2_esp_rva.txt', '2Corintios_2_esp_a.txt']","['2Corintios_2_xtm.txt', '2Corintios_2_mza.txt', '2Corintios_2_mxv.txt', '2Corintios_2_mpm.txt', '2Corintios_2_mks.txt', '2Corintios_2_mjc.txt', '2Corintios_2_miy.txt', '2Corintios_2_mit.txt', '2Corintios_2_mio.txt', '2Corintios_2_mih.txt', '2Corintios_2_mie.txt']"
"['2Corintios_3_IJSUD.txt', '2Corintios_3_esp_rva.txt', '2Corintios_3_esp_a.txt']","['2Corintios_3_xtm.txt', '2Corintios_3_mza.txt', '2Corintios_3_mxv.txt', '2Corintios_3_mpm.txt', '2Corintios_3_mks.txt', '2Corintios_3_mjc.txt', '2Corintios_3_miy.txt', '2Corintios_3_mit.txt', '2Corintios_3_mio.txt', '2Corintios_3_mih.txt', '2Corintios_3_mie.txt']"
"['2Corintios_4_IJSUD.txt', '2Corintios_4_esp_rva.txt', '2Corintios_4_esp_a.txt']","['2Corintios_4_xtm.txt', '2Corintios_4_mza.txt', '2Corintios_4_mxv.txt', '2Corintios_4_mpm.txt', '2Corintios_4_mks.txt', '2Corintios_4_mjc.txt', '2Corintios_4_miy.txt', '2Corintios_4_mit.txt', '2Corintios_4_mio.txt', '2Corintios_4_mie.txt']"
"['2Corintios_5_IJSUD.txt', '2Corintios_5_esp_rva.txt', '2Corintios_5_esp_a.txt']","['2Corintios_5_xtm.txt', '2Corintios_5_mza.txt', '2Corintios_5_mxv.txt', '2Corintios_5_mpm.txt', '2Corintios_5_mks.txt', '2Corintios_5_mjc.txt', '2Corintios_5_miy.txt', '2Corintios_5_mit.txt', '2Corintios_5_mio.txt', '2Corintios_5_mih.txt', '2Corintios_5_mie.txt']"
"['2Corintios_6_IJSUD.txt', '2Corintios_6_esp_rva.txt', '2Corintios_6_esp_a.txt']","['2Corintios_6_xtm.txt', '2Corintios_6_mza.txt', '2Corintios_6_mxv.txt', '2Corintios_6_mpm.txt', '2Corintios_6_mks.txt', '2Corintios_6_mjc.txt', '2Corintios_6_miy.txt', '2Corintios_6_mit.txt', '2Corintios_6_mio.txt', '2Corintios_6_mih.txt', '2Corintios_6_mie.txt']"
"['2Corintios_7_IJSUD.txt', '2Corintios_7_esp_rva.txt', '2Corintios_7_esp_a.txt']","['2Corintios_7_xtm.txt', '2Corintios_7_mza.txt', '2Corintios_7_mxv.txt', '2Corintios_7_mpm.txt', '2Corintios_7_mks.txt', '2Corintios_7_mjc.txt', '2Corintios_7_miy.txt', '2Corintios_7_mit.txt', '2Corintios_7_mio.txt', '2Corintios_7_mih.txt', '2Corintios_7_mie.txt']"
"['2Corintios_8_IJSUD.txt', '2Corintios_8_esp_rva.txt', '2Corintios_8_esp_a.txt']","['2Corintios_8_xtm.txt', '2Corintios_8_mza.txt', '2Corintios_8_mxv.txt', '2Corintios_8_mpm.txt', '2Corintios_8_mks.txt', '2Corintios_8_mjc.txt', '2Corintios_8_miy.txt', '2Corintios_8_mit.txt', '2Corintios_8_mio.txt', '2Corintios_8_mih.txt', '2Corintios_8_mie.txt']"
"['2Corintios_9_IJSUD.txt', '2Corintios_9_esp_rva.txt', '2Corintios_9_esp_a.txt']","['2Corintios_9_xtm.txt', '2Corintios_9_mza.txt', '2Corintios_9_mxv.txt', '2Corintios_9_mpm.txt', '2Corintios_9_mks.txt', '2Corintios_9_miy.txt', '2Corintios_9_mit.txt', '2Corintios_9_mio.txt', '2Corintios_9_mih.txt', '2Corintios_9_mie.txt']"
"['2Juan_1_IJSUD.txt', '2Juan_1_esp_rva.txt', '2Juan_1_esp_a.txt']","['2Juan_1_mie.txt', '2Juan_1_xtm.txt', '2Juan_1_mza.txt', '2Juan_1_mxv.txt', '2Juan_1_mpm.txt', '2Juan_1_mks.txt', '2Juan_1_mjc.txt', '2Juan_1_miy.txt', '2Juan_1_mit.txt', '2Juan_1_mio.txt', '2Juan_1_mih.txt']"
"['2Pedro_1_IJSUD.txt', '2Pedro_1_esp_rva.txt', '2Pedro_1_esp_a.txt']","['2Pedro_1_xtm.txt', '2Pedro_1_mza.txt', '2Pedro_1_mxv.txt', '2Pedro_1_mpm.txt', '2Pedro_1_mks.txt', '2Pedro_1_mjc.txt', '2Pedro_1_miy.txt', '2Pedro_1_mit.txt', '2Pedro_1_mio.txt', '2Pedro_1_mih.txt', '2Pedro_1_mie.txt']"
"['2Pedro_2_IJSUD.txt', '2Pedro_2_esp_rva.txt', '2Pedro_2_esp_a.txt']","['2Pedro_2_xtm.txt', '2Pedro_2_mza.txt', '2Pedro_2_mxv.txt', '2Pedro_2_mpm.txt', '2Pedro_2_mks.txt', '2Pedro_2_mjc.txt', '2Pedro_2_miy.txt', '2Pedro_2_mit.txt', '2Pedro_2_mio.txt', '2Pedro_2_mih.txt', '2Pedro_2_mie.txt']"
"['2Pedro_3_IJSUD.txt', '2Pedro_3_esp_rva.txt', '2Pedro_3_esp_a.txt']","['2Pedro_3_xtm.txt', '2Pedro_3_mza.txt', '2Pedro_3_mxv.txt', '2Pedro_3_mpm.txt', '2Pedro_3_mks.txt', '2Pedro_3_mjc.txt', '2Pedro_3_miy.txt', '2Pedro_3_mit.txt', '2Pedro_3_mio.txt', '2Pedro_3_mih.txt', '2Pedro_3_mie.txt']"
"['2Tesalonicenses_1_IJSUD.txt', '2Tesalonicenses_1_esp_rva.txt', '2Tesalonicenses_1_esp_a.txt']","['2Tesalonicenses_1_xtm.txt', '2Tesalonicenses_1_mza.txt', '2Tesalonicenses_1_mxv.txt', '2Tesalonicenses_1_mpm.txt', '2Tesalonicenses_1_mks.txt', '2Tesalonicenses_1_mjc.txt', '2Tesalonicenses_1_miy.txt', '2Tesalonicenses_1_mit.txt', '2Tesalonicenses_1_mio.txt', '2Tesalonicenses_1_mih.txt', '2Tesalonicenses_1_mie.txt']"
"['2Tesalonicenses_2_IJSUD.txt', '2Tesalonicenses_2_esp_rva.txt', '2Tesalonicenses_2_esp_a.txt']","['2Tesalonicenses_2_xtm.txt', '2Tesalonicenses_2_mza.txt', '2Tesalonicenses_2_mxv.txt', '2Tesalonicenses_2_mpm.txt', '2Tesalonicenses_2_mks.txt', '2Tesalonicenses_2_mjc.txt', '2Tesalonicenses_2_miy.txt', '2Tesalonicenses_2_mit.txt', '2Tesalonicenses_2_mio.txt', '2Tesalonicenses_2_mih.txt', '2Tesalonicenses_2_mie.txt']"
